"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9348068237305","96.182746887207","98.6285781860352","98.8852920532227","98.0146102905273","","","96.3007965087891","95.9867401123047","94.2086563110352","","90.0380401611328","99.9131011962891","94.889030456543","94.0771484375","95.165283203125","94.9649505615234","99.3733215332031","99.4658889770508","97.069450378418","98.2326431274414","","",
"American Samoa","ASM","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","93.8447418212891","92.8782119750977","","","","","","","","","","","","","","","","","","","","","","","","","95.8065795898438","96.2454299926758","","","","","96.3429412841797","","","","","","","98.8585433959961","99.4888381958008","99.2395401000977","99.1884918212891","98.996208190918","99.519416809082","","99.4899826049805","99.7527618408203","99.458251953125","99.6307678222656","99.4730606079102","","","",
"Azerbaijan","AZE","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","98.1356735229492","","","96.9159088134766","95.9424209594727","99.0956268310547","95.3099899291992","97.7675933837891","95.7805786132812","97.6339111328125","100","97.5796966552734","100","99.9936218261719","95.3796691894531","98.5988998413086","97.6041870117188","99.8637619018555","95.0528182983398","99.8544387817383","98.8605804443359","91.3973770141602","","94.8790893554688","97.3623123168945","","100","99.3640594482422","","",
"Burundi","BDI","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","2.77601003646851","37.4783706665039","57.7585296630859","45.2602691650391","47.0644111633301","77.6587600708008","47.9391403198242","71.279670715332","77.2494583129883","","","","","","","82.7902908325195","64.9314575195312","70.8508071899414","","65.2630996704102","","","","","","","","","53.9803085327148","60.4026489257812","63.071159362793","58.0185890197754","60.7194404602051","","61.472339630127","55.9484100341797","","51.8393402099609","47.2584114074707","40.5271492004395","47.0520896911621","46.526798248291","40.8645782470703","41.0066986083984","40.4508018493652","40.2373008728027","38.5476684570312","45.7311592102051","","","","","",
"Belgium","BEL","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","","","","69.9594268798828","68.6132125854492","71.7051086425781","66.7147521972656","65.4233932495117","68.1741409301758","69.5244903564453","71.91943359375","55.2821998596191","66.7559661865234","68.4523010253906","72.9304122924805","74.5242385864258","75.7420806884766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","66.5785675048828","63.5655097961426","50.721549987793","","59.6416511535645","52.3974914550781","50.1793518066406","54.2021217346191","","60.6782989501953","","56.2995681762695","33.1706809997559","53.4953308105469","37.8149681091309","45.0699501037598","35.6776885986328","42.0746192932129","8.04368019104004","","46.9074211120605","62.8568992614746","48.3491897583008","59.0456390380859","54.8955612182617","60.9955596923828","58.3841705322266","","","82.2536468505859","71.6587219238281","61.9698905944824","64.8487701416016","","","","","","56.1278915405273","58.3122901916504","60.4824409484863","54.7155990600586","54.3069686889648","58.6498413085938","48.5324897766113","","","35.2528114318848","39.8841896057129","54.9436187744141","53.9010696411133","","","",
"Burkina Faso","BFA","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","","50.5661506652832","47.8379096984863","52.9905281066895","58.243839263916","62.4201889038086","63.1197204589844","59.0676307678223","62.6344909667969","65.2012710571289","67.8049163818359","76.454719543457","69.2582321166992","70.0859603881836","73.3609008789062","","74.7218704223633","67.080192565918","66.5932769775391","63.1565093994141","70.00244140625","","","","76.7905197143555","","","","57.3458595275879","59.5025482177734","59.9569816589355","56.331169128418","65.1623001098633","67.7354736328125","68.1308288574219","63.187198638916","70.6426620483398","67.6672973632812","70.8426208496094","61.226261138916","","65.6708068847656","64.3040237426758","64.8937530517578","62.2313499450684","64.1925735473633","60.8077507019043","64.4015274047852","50.449291229248","48.4816284179688","55.2993583679199","39.9423904418945","26.5304794311523","","",
